x1,y1,x2,y2,x3,y3
0.0,0.0,149500000000.0,0.0,149500000000.0,384000000.0
0.35102945117901463,1.0948911578525834e-05,149499884639.06897,107208646.10804886,149496205440.21063,491155143.43987614
0.9360788413020407,0.00019701590589711187,149499692366.66306,214417667.86408174,149492334306.29752,598274989.0929347
1.755148354947969,0.0007260204977417623,149499423178.6323,321627010.13838375,149488386930.86224,705359480.0325822
2.8082380564486735,0.0017657828221492656,149499077070.8646,428836617.76222086,149484363646.67813,812408562.4895962
4.095347889887829,0.0034841235482243756,149498654039.28607,536046435.52782303,149480264786.66302,919422185.8558586
5.616477679099783,0.006048863792955101,149498154079.86142,643256408.1883687,149476090683.8519,1026400302.6879199
7.371627127668496,0.009627825035026174,149497577188.59427,750466480.4579717,149471841671.3694,1133342868.7103977
9.360795818926524,0.014388829028630784,149496923361.52744,857676597.0116708,149467518082.40225,1240249842.819204
11.583983215954074,0.020499697717280652,149496192594.7434,964886702.4854201,149463120250.17175,1347121187.0846002
14.041188661578103,0.02812825314761451,149495384884.36447,1072096741.4760828,149458648507.90585,1453956866.754079
16.732411378371488,0.037442317383205095,149494500226.55328,1179306658.5414262,149454103188.81155,1560756850.2550707
19.657650468652243,0.048609712418364696,149493538617.51303,1286516398.2001197,149449484626.04678,1667521109.1974676
22.816904914482798,0.06179826009194938,149492500053.4879,1393725904.9317346,149444793152.6925,1774249618.375972
26.210173577669345,0.07717578200116192,149491384530.7634,1500935123.1767457,149440029101.72458,1880942355.7722583
29.837455199761216,0.09491009941535353,149490192045.66663,1608143997.3365362,149435192805.9856,1987599302.5569494
33.69874840205035,0.11516903318982454,149488922594.56665,1715352471.7734044,149430284598.15656,2094220443.0914056
37.7940516855708,0.13812040367962397,149487576173.87497,1822560490.8105721,149425304810.7285,2200805764.929321
42.123363431098305,0.16393203065334813,149486152780.04572,1929767998.7321973,149420253775.97385,2307355258.818125
46.68668189914989,0.19277173320693852,149484652409.57608,2036974939.7833867,149415131825.91803,2413868918.700189
51.48400522998359,0.22480732967747866,149483075059.00665,2144181258.1702127,149409939292.31064,2520346741.713832
56.51533144359816,0.2602066375569903,149481420724.92178,2251386898.059732,149404676506.59668,2626788728.19412
61.78065843973289,0.2991374734062293,149479689403.9499,2358591803.5800076,149399343799.8876,2733194881.673462
67.27998399786746,0.34176765276848037,149477881092.76392,2465795918.820132,149393941502.93237,2839565208.8819947
73.01330577722186,0.3882649900833515,149475995788.0816,2572999187.830253,149388469946.0883,2945899719.747754
78.98062131675633,0.4387972986005687,149474033486.66583,2680201554.6216063,149382929459.29172,3052198427.3966274
85.18192803517142,0.4935323902937691,149471994185.3251,2787402963.1665425,149377320372.02887,3158461348.1520896
91.61722323090811,0.552638075774295,149469877880.91376,2894603357.398566,149371643013.3063,3264688501.53471
98.28650408214789,0.6162821642049869,149467684570.3324,3001802681.2123704,149365897711.6214,3370879910.2614336
105.189767646813,0.6846324632139771,149465414250.52832,3109000878.46388,149360084794.93265,3477035600.244631
112.3270108625667,0.7578567788084825,149463066918.49576,3216197892.9702926,149354204590.63004,3583155600.5909085
119.69823054681358,0.8361229152885985,149460642571.2763,3323393668.510124,149348257425.505,3689239943.5996842
127.30342339669991,0.9195986751610921,149458141205.95935,3430588148.823261,149342243625.7206,3795288664.7615147
135.14258598911417,1.0084518590531955,149455562819.68234,3537781277.6110096,149336163516.78143,3901301802.7561755
143.21571478068742,1.1028502656263999,149452907409.63123,3644972998.5361533,149330017423.5034,4007279399.45049
151.52280610779397,1.2029616914902503,149450174973.0407,3752163255.223011,149323805669.9834,4113221499.8959002
160.06385618655185,1.3089539311161402,149447365507.19482,3859351991.2574973,149317528579.56906,4219128152.3257766
168.83886111282365,1.4209947767511062,149444479009.42712,3966539150.1871896,149311186474.82822,4324999408.152464
177.84781686221714,1.5392520183316245,149441515477.1212,4073724675.521395,149304779677.51822,4430835321.964055
187.09071929008607,1.6638934433974073,149438474907.71088,4180908510.7312226,149298308508.5554,4536635951.520891
196.56756413153104,1.7950868370051996,149435357298.68082,4288090599.249658,149291773287.98413,4642401357.751786
206.27834700140036,1.9329999816425778,149432162647.56674,4395270884.4716425,149285174334.94608,4748131604.74996
216.2230633942911,2.077800657141749,149428890951.95584,4502449309.754155,149278511967.64914,4853826759.768691
226.40170868455002,2.2296566405933502,149425542209.48718,4609625818.416299,149271786503.3364,4959486893.216674
236.81427812627462,2.3887357062602494,149422116417.85208,4716800353.7393875,149264998258.2549,5065112078.653077
247.4607668533144,2.5552056254913484,149418613574.79446,4823972858.967044,149258147547.62457,5170702392.782299
258.341169879272,2.729234166635385,149415033678.1113,4931143277.305292,149251234685.6066,5276257915.4484215
269.4554820975044,2.910989094954739,149411376725.65295,5038311551.92266,149244259985.27225,5381778729.629345
280.80369828112424,3.1006381725392367,149407642715.32358,5145477625.950282,149237223758.57123,5487264921.4306135
292.3858130830014,3.298349158219959,149403831645.08148,5252641442.482013,149230126316.30008,5592716580.078914
304.201821035764,3.5042898074830506,149399943512.9396,5359802944.574534,149222967968.07056,5698133797.915246
316.2517165518004,3.7186278723835295,149395978316.96576,5466962075.247475,149215749022.2779,5803516670.387774
328.53549392326045,3.9415311014590997,149391936055.28314,5574118777.483528,149208469786.06894,5908865296.04433
341.05314732205693,4.1731672396439645,149387816726.07068,5681272994.228582,149201130565.31024,6014179776.524576
353.8046707998677,4.413704028182643,149383620327.56348,5788424668.391845,149193731664.55618,6119460216.551839
366.79005828813706,4.663309204543785,149379346858.0531,5895573742.845978,149186273387.01688,6224706723.92457
380.0093035980775,4.922150502333994,149374996315.88803,6002720160.427236,149178756034.52615,6329919409.507468
393.4624004206719,5.190395651211644,149370568699.47412,6109863863.935608,149171179907.50937,6435098387.222239
407.1493423266749,5.468212376800708,149366064007.27484,6217004796.134965,149163545304.95135,6540243774.037982
421.0701227666155,5.75576840060458,149361482237.81186,6324142899.753209,149155852524.364,6645355689.961225
435.22473507079854,6.0532314399199025,149356823389.66528,6431278117.482432,149148101861.7542,6750434258.025565
449.613172449307,6.360769207750398,149352087461.47412,6538410391.979076,149140293611.5914,6855479604.2809515
464.2354279920042,6.6785494127207,149347274451.93668,6645539665.864096,149132428066.77527,6960491857.782571
479.09149466853586,7.00673975899019,149342384359.8109,6752665881.723129,149124505518.6035,7065471150.579355
494.1813653283324,7.3455079461668324,149337417183.91495,6859788982.106676,149116526256.7392,7170417617.702093
509.5050327006113,7.695021669221014,149332372923.12732,6966908909.5302725,149108490569.17865,7275331397.151148
525.0624893943794,8.055448618399389,149327251576.38748,7074025606.474678,149100398742.21887,7380212629.883776
540.8537278984357,8.42695647913872,149322053142.69617,7181139015.386067,149092251060.42514,7485061459.801039
556.8787405813731,8.809712931979732,149316777621.11572,7288249078.67622,149084047806.59863,7589878033.734315
573.1375196915817,9.203885652480952,149311425010.77063,7395355738.722722,149075789261.74408,7694662501.431387
589.6300573572511,9.609642311132577,149305995310.8478,7502458937.869174,149067475705.03723,7799415015.542123
606.3563455863729,10.027150573270315,149300488520.59708,7609558618.425395,149059107413.7925,7904135731.603737
623.3163762667436,10.456578098989262,149294904639.3315,7716654722.667642,149050684663.4308,8008824808.025622
640.5101411659679,10.898092543057746,149289243666.42783,7823747192.838828,149042207727.44687,8113482406.073761
657.9376319314606,11.351861554831206,149283505601.32678,7930835971.148751,149033676877.3774,8218108689.854703
675.5988400904502,11.818052778166052,149277690443.53366,8037920999.77432,149025092382.76852,8322703826.2991085
693.4937570499816,12.296833851333545,149271798192.6185,8145002220.859792,149016454511.14362,8427267985.144858
711.6223740969194,12.788372406933664,149265828848.2166,8252079576.517019,149007763527.97137,8531801338.9197235
729.9846823979507,13.292836071808994,149259782410.02896,8359153008.825691,148999019696.6336,8636304062.923588
748.5806729995882,13.810392466958596,149253658877.82254,8466222459.833589,148990223278.39322,8740776335.210228
767.4103368281739,14.341209207451909,149247458251.43076,8573287871.556841,148981374532.3624,8845218336.568647
786.4736646898817,14.885453902342622,149241180530.75378,8680349185.980188,148972473715.4708,8949630250.503956
805.7706472707215,15.443294154582576,149234825715.759,8787406345.057259,148963521082.43375,9054012263.217802
825.3012751365419,16.014897560935662,149228393806.48145,8894459290.710833,148954516885.72073,9158364563.58834
845.0655387330343,16.600431711891716,149221884803.02402,9001507964.83313,148945461375.5238,9262687343.149752
865.0634283857356,17.200064191580427,149215298705.55804,9108552309.286093,148936354799.72626,9366980796.071297
885.2949343000328,17.81396257768524,149208635514.32358,9215592265.90168,148927197403.8714,9471245119.13592
905.7600465611657,18.44229444135727,149201895229.62973,9322627776.48216,148917989431.13138,9575480511.718378
926.4587551342313,19.085227347129226,149195077851.8552,9429658782.800425,148908731122.27628,9679687175.762915
947.391049864187,19.742928852829312,149188183381.44846,9536685226.60028,148899422715.6433,9783865315.76047
968.5569204758551,20.41556650949517,149181211818.9283,9643707049.59678,148890064447.10617,9888015138.725418
989.956356573926,21.103307861287796,149174163164.8842,9750724193.476534,148880656550.04453,9992136854.17185
1011.5893476429626,21.80632044540547,149167037419.97644,9857736599.898035,148871199255.3138,10096230674.089384
1033.455883047404,22.524771791997704,149159834584.93683,9964744210.491999,148861692791.2151,10200296812.918505
1055.5559520315703,23.258829424079174,149152554660.56885,10071746966.861689,148852137383.46518,10304335487.525446
1077.8895437196652,24.00866085744367,149145197647.74805,10178744810.583273,148842533255.16693,10408346917.176603
1100.4566471157818,24.77443360057803,149137763547.4225,10285737683.20616,148832880626.77988,10512331323.51248
1123.2572511039061,25.556315154576115,149130252360.61298,10392725526.253365,148823179716.09088,10616288930.521168
1146.2913444479216,26.354473013052754,149122664088.41354,10499708281.22186,148813430738.18524,10720219964.511362
1169.5589157916133,27.16907466205771,149114998731.9917,10606685889.582949,148803633905.41785,10824124654.084923
1193.0599536586726,28.000287579989642,149107256292.58884,10713658292.782629,148793789427.38483,10928003230.108957
1216.7944464527013,28.848279237510084,149099436771.52057,10820625432.241982,148783897510.8952,11031855925.687458
1240.7623824572165,29.71321709745741,149091540170.177,10927587249.357542,148773958359.943,11135682976.132479
1264.9637498356553,30.595268614760833,149083566490.0232,11034543685.501698,148763972175.67963,11239484618.934847
1289.3985366313796,31.494601236354374,149075515732.59943,11141494682.023073,148753939156.38647,11343261093.73443
1314.06673076768,32.41138240109086,149067387899.52155,11248440180.24694,148743859497.44785,11447012642.28995
1338.9683200477814,33.345779539655915,149059182992.48123,11355380121.475613,148733733391.32428,11550739508.44834
1364.103292154848,34.297960074481956,149050901013.2464,11462314446.988867,148723561027.52606,11654441938.113674
1389.471634651988,35.26809141966221,149042541963.66147,11569243098.04435,148713342592.58728,11758120179.215633
1415.0733349822585,36.25634098086473,149034105845.64777,11676166015.87801,148703078270.03992,11861774481.677547
1440.9083804686702,37.26287615524636,149025592661.20374,11783083141.704508,148692768240.3886,11965405097.383999
1466.9767583141934,38.287864331366826,149017002412.40524,11889994416.717669,148682412681.08557,12069012280.147995
